,Applications For Bankruptcy,Bankruptcy Orders Made,Bankruptcy Discharges
2004 Jan,437,507,52
2004 Feb,410,384,90
2004 Mar,462,353,151
2004 Apr,421,423,112
2004 May,396,341,184
2004 Jun,434,357,154
2004 Jul,476,366,167
2004 Aug,482,346,211
2004 Sep,433,358,174
2004 Oct,440,426,118
2004 Nov,348,331,152
2004 Dec,383,361,153
2005 Jan,356,312,140
2005 Feb,319,252,126
2005 Mar,344,290,145
2005 Apr,324,378,175
2005 May,344,272,168
2005 Jun,338,255,155
2005 Jul,351,310,199
2005 Aug,371,262,115
2005 Sep,394,346,121
2005 Oct,363,284,125
2005 Nov,280,274,106
2005 Dec,294,307,107
2006 Jan,277,211,53
2006 Feb,302,253,73
2006 Mar,381,280,98
2006 Apr,170,225,130
2006 May,280,216,125
2006 Jun,283,267,128
2006 Jul,321,217,149
2006 Aug,277,254,220
2006 Sep,293,280,159
2006 Oct,329,226,145
2006 Nov,339,296,165
2006 Dec,254,258,189
2007 Jan,301,263,121
2007 Feb,223,202,123
2007 Mar,300,262,177
2007 Apr,253,216,88
2007 May,292,189,151
2007 Jun,283,282,146
2007 Jul,305,198,121
2007 Aug,303,261,187
2007 Sep,254,214,95
2007 Oct,300,221,136
2007 Nov,236,263,168
2007 Dec,167,196,113
2008 Jan,292,215,120
2008 Feb,204,175,86
2008 Mar,258,200,85
2008 Apr,256,191,87
2008 May,253,215,106
2008 Jun,262,180,81
2008 Jul,300,237,135
2008 Aug,240,205,114
2008 Sep,290,206,108
2008 Oct,208,205,271
2008 Nov,186,160,177
2008 Dec,205,137,130
2009 Jan,257,210,103
2009 Feb,252,174,204
2009 Mar,242,195,272
2009 Apr,296,263,376
2009 May,266,194,430
2009 Jun,199,200,343
2009 Jul,239,151,294
2009 Aug,180,101,209
2009 Sep,192,106,167
2009 Oct,218,169,300
2009 Nov,211,129,139
2009 Dec,202,166,219
2010 Jan,190,107,112
2010 Feb,152,118,132
2010 Mar,190,81,170
2010 Apr,188,141,178
2010 May,178,97,94
2010 Jun,214,151,132
2010 Jul,173,209,216
2010 Aug,175,125,164
2010 Sep,187,137,186
2010 Oct,198,95,268
2010 Nov,166,104,275
2010 Dec,191,172,325
2011 Jan,175,101,242
2011 Feb,195,78,157
2011 Mar,205,138,106
2011 Apr,175,134,117
2011 May,156,131,98
2011 Jun,200,161,85
2011 Jul,181,131,139
2011 Aug,184,95,81
2011 Sep,245,176,86
2011 Oct,205,113,71
2011 Nov,208,122,86
2011 Dec,185,147,123
2012 Jan,207,114,56
2012 Feb,219,112,83
2012 Mar,251,190,112
2012 Apr,271,164,132
2012 May,258,148,119
2012 Jun,232,134,190
2012 Jul,295,122,200
2012 Aug,254,128,187
2012 Sep,263,175,198
2012 Oct,284,117,160
2012 Nov,277,195,265
2012 Dec,208,149,179
2013 Jan,227,191,141
2013 Feb,199,158,157
2013 Mar,261,136,218
2013 Apr,256,157,184
2013 May,220,220,194
2013 Jun,199,199,136
2013 Jul,244,159,191
2013 Aug,272,168,226
2013 Sep,262,148,219
2013 Oct,297,164,242
2013 Nov,190,157,353
2013 Dec,197,135,323
2014 Jan,236,164,327
2014 Feb,209,110,359
2014 Mar,250,120,277
2014 Apr,212,212,234
2014 May,224,192,196
2014 Jun,206,151,263
2014 Jul,212,154,247
2014 Aug,209,145,354
2014 Sep,228,137,278
2014 Oct,245,164,347
2014 Nov,212,113,415
2014 Dec,144,96,249
2015 Jan,244,175,279
2015 Feb,125,115,186
2015 Mar,192,161,130
2015 Apr,236,158,221
2015 May,253,126,239
2015 Jun,164,149,248
2015 Jul,255,161,358
2015 Aug,198,122,291
2015 Sep,249,85,373
2015 Oct,251,204,406
2015 Nov,237,160,361
2015 Dec,208,160,407
2016 Jan,245,140,340
2016 Feb,257,138,401
2016 Mar,247,147,545
2016 Apr,247,134,477
2016 May,243,139,513
2016 Jun,269,189,376
2016 Jul,319,166,303
2016 Aug,104,163,376
2016 Sep,154,179,234
2016 Oct,158,137,247
2016 Nov,240,123,300
2016 Dec,221,142,247
2017 Jan,214,124,219
2017 Feb,209,130,181
2017 Mar,270,157,148
2017 Apr,248,131,141
2017 May,247,138,187
2017 Jun,253,148,135
2017 Jul,253,118,155
2017 Aug,269,169,172
2017 Sep,237,138,163
2017 Oct,263,129,211
2017 Nov,242,148,156
2017 Dec,227,108,162
2018 Jan,266,111,137
