,        MalaysTotal,        ChineseTotal,        IndiansTotal,        OthersTotal,        MalayMales,        ChineseMales,        IndianMales,        OtherMales,        MalayFemales,        ChineseFemales,        IndianFemales,        OtherFemales
1960 Jan,145,615,74,12,80,349,53,8,65,266,21,4
1960 Feb,120,611,55,23,57,383,40,14,63,228,15,9
1960 Mar,150,653,78,15,84,402,55,8,66,251,23,7
1960 Apr,160,678,65,11,97,377,46,4,63,301,19,7
1960 May,167,699,77,20,91,423,56,15,76,276,21,5
1960 Jun,164,641,60,24,91,348,37,12,73,293,23,12
1960 Jul,140,616,48,16,84,355,39,12,56,261,9,4
1960 Aug,150,623,75,19,70,348,57,9,80,275,18,10
1960 Sep,110,564,62,17,53,332,51,8,57,232,11,9
1960 Oct,148,589,64,5,81,329,46,1,67,260,18,4
1960 Nov,156,551,56,25,89,327,45,18,67,224,11,7
1960 Dec,147,629,55,25,85,368,31,17,62,261,24,8
1961 Jan,148,666,65,22,78,383,44,13,70,283,21,9
1961 Feb,114,522,51,17,67,292,36,9,47,230,15,8
1961 Mar,154,650,49,13,75,373,40,7,79,277,9,6
1961 Apr,146,576,47,14,74,315,36,9,72,261,11,5
1961 May,180,640,56,19,102,376,41,10,78,264,15,9
1961 Jun,158,662,66,12,86,389,51,11,72,273,15,1
1961 Jul,157,665,63,12,97,390,43,9,60,275,20,3
1961 Aug,173,610,81,16,92,366,60,12,81,244,21,4
1961 Sep,147,576,62,6,89,356,45,5,58,220,17,1
1961 Oct,153,572,60,16,88,328,44,13,65,244,16,3
1961 Nov,126,577,43,19,70,336,34,10,56,241,9,9
1961 Dec,144,616,66,15,80,373,50,9,64,243,16,6
1962 Jan,155,664,72,17,88,386,55,7,67,278,17,10
1962 Feb,126,581,52,14,72,307,40,9,54,274,12,5
1962 Mar,129,549,70,21,69,315,49,9,60,234,21,12
1962 Apr,144,646,46,20,77,399,35,12,67,247,11,8
1962 May,180,798,65,22,90,486,46,12,90,312,19,10
1962 Jun,134,685,57,16,60,416,40,13,74,269,17,3
1962 Jul,141,634,64,24,66,346,50,10,75,288,14,14
1962 Aug,128,610,65,17,80,365,47,11,48,245,18,6
1962 Sep,134,592,71,14,85,357,47,9,49,235,24,5
1962 Oct,130,639,55,18,76,380,33,10,54,259,22,8
1962 Nov,117,548,62,13,63,327,44,9,54,221,18,4
1962 Dec,122,622,71,24,68,358,54,17,54,264,17,7
1963 Jan,134,598,63,13,73,351,52,7,61,247,11,6
1963 Feb,104,550,47,17,53,336,36,12,51,214,11,5
1963 Mar,128,618,62,10,70,353,48,9,58,265,14,1
1963 Apr,121,634,63,13,67,368,53,7,54,266,10,6
1963 May,118,657,61,20,62,392,51,12,56,265,10,8
1963 Jun,127,648,50,22,73,388,35,12,54,260,15,10
1963 Jul,149,669,73,17,72,417,53,9,77,252,20,8
1963 Aug,121,714,53,20,72,407,39,12,49,307,14,8
1963 Sep,128,617,68,13,82,374,55,8,46,243,13,5
1963 Oct,134,720,74,15,76,418,54,10,58,302,20,5
1963 Nov,110,598,68,15,64,343,54,8,46,255,14,7
1963 Dec,126,670,69,18,73,405,52,10,53,265,17,8
1964 Jan,156,663,69,19,75,380,58,12,81,283,11,7
1964 Feb,115,633,55,17,66,369,34,12,49,264,21,5
1964 Mar,125,658,61,19,60,397,42,12,65,261,19,7
1964 Apr,129,638,73,13,75,372,55,9,54,266,18,4
1964 May,153,748,69,15,88,454,53,7,65,294,16,8
1964 Jun,133,636,55,18,80,384,40,9,53,252,15,9
1964 Jul,126,643,62,19,74,367,48,13,52,276,14,6
