,        MalaysTotal,        ChineseTotal,        IndiansTotal,        OthersTotal,        MalaysMale,        ChineseMale,        IndiansMale,        OthersMale,        MalaysFemale,        ChineseFemales,        IndiansFemales,OthersFemales
1960 Jan,44,90,19,4,29,53,11,0,15,37,8,4
1960 Feb,53,88,8,5,30,52,5,5,23,36,3,0
1960 Mar,50,119,17,3,32,76,9,1,18,43,8,2
1960 Apr,65,117,10,1,47,56,5,0,18,61,5,1
1960 May,77,139,15,3,44,82,9,3,33,57,6,0
1960 Jun,61,125,15,2,33,68,5,1,28,57,10,1
1960 Jul,59,116,8,3,36,67,5,2,23,49,3,1
1960 Aug,67,109,12,1,32,50,8,1,35,59,4,0
1960 Sep,46,93,15,1,23,51,11,0,23,42,4,1
1960 Oct,48,94,17,0,24,55,6,0,24,39,11,0
1960 Nov,57,92,17,0,28,53,12,0,29,39,5,0
1960 Dec,60,91,17,3,37,48,6,2,23,43,11,1
1961 Jan,46,106,14,1,23,53,5,0,23,53,9,1
1961 Feb,43,66,18,4,27,32,11,2,16,34,7,2
1961 Mar,48,93,8,0,26,57,7,0,22,36,1,0
1961 Apr,51,96,11,4,31,55,5,2,20,41,6,2
1961 May,70,107,9,3,42,65,4,1,28,42,5,2
1961 Jun,52,107,17,1,32,55,8,1,20,52,9,0
1961 Jul,57,102,14,2,42,57,6,1,15,45,8,1
1961 Aug,64,114,13,1,35,69,8,0,29,45,5,1
1961 Sep,59,87,18,2,38,45,11,2,21,42,7,0
1961 Oct,46,77,18,0,29,43,10,0,17,34,8,0
1961 Nov,47,72,5,5,26,39,3,3,21,33,2,2
1961 Dec,41,103,14,0,17,62,10,0,24,41,4,0
1962 Jan,54,112,17,2,26,67,15,0,28,45,2,2
1962 Feb,39,79,10,1,24,45,7,0,15,34,3,1
1962 Mar,46,73,12,1,27,46,5,1,19,27,7,0
1962 Apr,46,107,5,4,27,71,4,2,19,36,1,2
1962 May,55,97,11,3,25,62,5,2,30,35,6,1
1962 Jun,45,100,9,2,23,64,4,2,22,36,5,0
1962 Jul,49,96,13,2,24,58,10,1,25,38,3,1
1962 Aug,38,92,13,2,26,51,6,2,12,41,7,0
1962 Sep,51,91,11,2,34,55,6,1,17,36,5,1
1962 Oct,47,103,15,2,28,64,6,1,19,39,9,1
1962 Nov,38,87,10,1,21,50,7,1,17,37,3,0
1962 Dec,32,105,12,1,18,68,10,1,14,37,2,0
1963 Jan,48,81,12,0,25,49,7,0,23,32,5,0
1963 Feb,35,71,8,4,24,46,5,2,11,25,3,2
1963 Mar,33,73,12,2,21,46,7,2,12,27,5,0
1963 Apr,33,90,11,2,21,56,5,1,12,34,6,1
1963 May,23,78,8,1,12,39,5,1,11,39,3,0
1963 Jun,44,94,9,0,28,57,5,0,16,37,4,0
