,        1st Live-birth,        2nd Live-birth,        3rd Live-birth,        4th Live-birth,        5th Live-birth,        6th Live-birth & Over
1986 1Q,"4,414","3,553","1,433",316,103,61
1986 2Q,"4,186","3,367","1,271",332,87,50
1986 3Q,"4,398","3,475","1,395",359,98,44
1986 4Q,"4,782","3,423","1,454",351,98,51
1987 1Q,"4,007","3,053","1,234",320,81,56
1987 2Q,"4,306","3,942","1,623",395,82,51
1987 3Q,"4,532","4,492","1,940",458,126,68
1987 4Q,"4,928","4,966","2,195",425,117,72
1988 1Q,"4,374","4,032","2,002",434,117,41
1988 2Q,"4,426","4,645","2,265",485,107,51
1988 3Q,"5,413","5,046","2,539",524,105,58
1988 4Q,"6,236","5,728","2,940",597,130,71
1989 1Q,"4,657","3,955","2,059",469,108,52
1989 2Q,"4,475","3,946","2,042",452,116,57
1989 3Q,"4,953","4,209","2,240",528,124,56
1989 4Q,"5,380","4,521","2,504",568,123,72
1990 1Q,"4,650","3,962","2,043",458,119,52
1990 2Q,"4,558","4,337","2,229",566,123,48
1990 3Q,"5,292","4,647","2,567",582,124,54
1990 4Q,"5,825","5,286","2,785",652,115,64
1991 1Q,"4,620","4,125","2,114",547,108,45
1991 2Q,"4,420","4,216","2,206",558,113,47
1991 3Q,"5,111","4,483","2,238",578,119,52
1991 4Q,"5,472","4,754","2,380",616,130,62
1992 1Q,"4,748","4,108","2,136",503,91,53
1992 2Q,"4,545","4,062","2,130",553,101,50
1992 3Q,"5,352","4,424","2,238",584,124,58
1992 4Q,"5,662","4,780","2,339",583,125,52
1993 1Q,"4,757","4,083","1,977",540,117,50
1993 2Q,"4,880","4,314","2,116",530,124,48
1993 3Q,"5,427","4,578","2,284",606,130,53
1993 4Q,"5,613","4,832","2,382",603,136,41
1994 1Q,"4,848","4,146","1,984",533,116,42
1994 2Q,"4,846","4,328","2,125",550,105,49
1994 3Q,"5,239","4,408","2,180",539,141,40
1994 4Q,"5,505","4,766","2,272",601,134,54
1995 1Q,"4,816","3,981","1,958",496,107,54
1995 2Q,"4,834","4,246","1,998",545,130,51
1995 3Q,"5,210","4,380","2,089",601,144,47
1995 4Q,"5,298","4,673","2,234",570,124,47
1996 1Q,"4,789","4,154","1,870",528,104,55
1996 2Q,"4,592","4,315","2,046",537,92,41
1996 3Q,"5,032","4,333","2,059",591,140,53
1996 4Q,"5,391","4,717","2,322",635,134,46
1997 1Q,"4,448","4,074","1,816",459,106,34
1997 2Q,"4,524","4,093","1,851",532,118,51
1997 3Q,"5,040","4,310","2,012",551,137,56
1997 4Q,"5,404","4,650","2,255",642,121,48
1998 1Q,"4,542","3,790","1,788",496,126,46
1998 2Q,"4,517","3,880","1,757",564,115,36
1998 3Q,"4,877","3,743","1,715",530,116,61
1998 4Q,"4,924","3,617","1,706",518,143,57
1999 1Q,"4,483","3,553","1,637",441,107,47
1999 2Q,"4,561","3,867","1,714",514,131,74
1999 3Q,"4,896","3,786","1,558",501,137,51
1999 4Q,"4,838","3,964","1,762",514,148,49
2000 1Q,"4,783","3,946","1,715",477,140,74
2000 2Q,"4,664","4,174","1,725",512,128,60
2000 3Q,"5,141","4,364","1,849",562,148,56
2000 4Q,"5,342","4,464","1,875",583,141,70
2001 1Q,"4,481","3,610","1,561",438,128,65
2001 2Q,"4,296","3,696","1,691",499,118,71
2001 3Q,"4,389","3,477","1,672",485,137,63
2001 4Q,"4,429","3,718","1,727",487,141,67
2002 1Q,"4,139","3,492","1,501",382,110,59
2002 2Q,"4,320","3,654","1,388",396,114,54
2002 3Q,"4,362","3,817","1,565",432,112,61
2002 4Q,"4,703","3,910","1,555",464,110,56
2003 1Q,"3,928","3,371","1,313",358,112,46
2003 2Q,"4,008","3,290","1,380",379,109,56
2003 3Q,"4,097","3,393","1,350",398,106,58
2003 4Q,"4,375","3,403","1,447",363,90,53
2004 1Q,"3,930","3,239","1,247",320,102,51
2004 2Q,"3,969","3,212","1,260",367,103,40
