,        Air,        Sea
2011 Jan,"403,091","116,280"
2011 Feb,"418,658","133,481"
2011 Mar,"493,565","137,907"
2011 Apr,"454,456","135,324"
2011 May,"512,788","145,523"
2011 Jun,"598,743","163,542"
2011 Jul,"447,246","144,811"
2011 Aug,"424,227","113,742"
2011 Sep,"496,243","128,084"
2011 Oct,"486,524","128,889"
2011 Nov,"598,638","140,992"
2011 Dec,"748,441","181,731"
2012 Jan,"454,129","121,251"
2012 Feb,"422,488","105,888"
2012 Mar,"547,932","139,413"
2012 Apr,"500,320","118,088"
2012 May,"550,627","121,770"
2012 Jun,"624,639","160,375"
2012 Jul,"451,896","115,422"
2012 Aug,"453,977","119,284"
2012 Sep,"498,279","116,797"
2012 Oct,"536,331","123,802"
2012 Nov,"661,194","134,038"
2012 Dec,"783,456","186,412"
2013 Jan,"431,617","102,937"
2013 Feb,"466,876","119,992"
2013 Mar,"583,066","154,098"
2013 Apr,"492,933","112,681"
2013 May,"561,989","135,220"
2013 Jun,"703,498","167,157"
2013 Jul,"476,835","110,483"
2013 Aug,"501,336","138,380"
2013 Sep,"561,024","135,986"
2013 Oct,"589,119","128,425"
2013 Nov,"728,060","167,761"
2013 Dec,"864,075","213,518"
2014 Jan,"492,364","134,282"
2014 Feb,"448,791","123,610"
2014 Mar,"604,105","153,139"
2014 Apr,"539,291","130,930"
2014 May,"595,285","135,576"
2014 Jun,"725,083","171,416"
2014 Jul,"487,019","119,015"
2014 Aug,"494,973","122,282"
2014 Sep,"580,512","132,786"
2014 Oct,"614,387","143,085"
2014 Nov,"716,594","155,591"
2014 Dec,"865,374","217,215"
2015 Jan,"476,524","126,294"
2015 Feb,"481,183","131,763"
2015 Mar,"616,144","142,667"
2015 Apr,"562,934","133,031"
2015 May,"633,056","156,943"
2015 Jun,"709,001","159,633"
2015 Jul,"509,449","121,179"
2015 Aug,"532,272","142,464"
2015 Sep,"590,148","138,386"
2015 Oct,"589,746","125,736"
2015 Nov,"750,693","153,724"
2015 Dec,"920,227","222,134"
2016 Jan,"497,410","128,774"
2016 Feb,"542,520","143,784"
2016 Mar,"675,124","154,250"
2016 Apr,"600,065","139,740"
2016 May,"652,406","145,291"
2016 Jun,"728,965","151,025"
2016 Jul,"532,170","113,260"
2016 Aug,"519,051","110,631"
2016 Sep,"647,384","132,526"
2016 Oct,"627,721","132,190"
2016 Nov,"773,054","141,370"
2016 Dec,"974,723","210,771"
2017 Jan,"564,600","131,718"
2017 Feb,"502,463","106,334"
2017 Mar,"708,879","154,569"
2017 Apr,"636,536","152,812"
2017 May,"684,044","130,306"
2017 Jun,"766,096","151,107"
2017 Jul,"560,828","123,058"
2017 Aug,"597,199","134,304"
2017 Sep,"631,680","144,471"
2017 Oct,"648,313","137,354"
2017 Nov,"817,157","166,452"
2017 Dec,"982,892","255,680"
2018 Jan,"550,455","119,197"
