nbhd,nbhd_code,population,Pop_OBJECTID,Pop_2001_TOTAL,Pop_2001_HDB,Pop_2002_TOTAL,Pop_2002_HDB,Pop_2003_TOTAL,Pop_2003_HDB,Pop_2004_TOTAL,Pop_2004_HDB,Pop_2005_TOTAL,Pop_2005_HDB,Pop_2006_TOTAL,Pop_2006_HDB,Pop_2007_TOTAL,Pop_2007_HDB,Pop_2008_TOTAL,Pop_2008_HDB,Pop_2009_TOTAL,Pop_2009_HDB,Pop_2010_TOTAL,Pop_2010_HDB,Pop_2011_TOTAL,Pop_2011_HDB,Pop_2012_TOTAL,Pop_2012_HDB,Pop_2013_TOTAL,Pop_2013_HDB,Pop_2014_TOTAL,Pop_2014_HDB,Pop_2015_TOTAL,Pop_2015_HDB,Pop_2016_TOTAL,Pop_2016_HDB,Electricity_OBJECTID,Electricity_2005_AVRG,Electricity_2006_AVRG,Electricity_2007_AVRG,Electricity_2008_AVRG,Electricity_2009_AVRG,Electricity_2010_AVRG,Electricity_2011_AVRG,Electricity_2012_AVRG,Electricity_2013_AVRG,Electricity_2014_AVRG,Electricity_2015_AVRG,Electricity_2016_AVRG,system.index,Albedo_2003,Albedo_2004,Albedo_2005,Albedo_2006,Albedo_2007,Albedo_2008,Albedo_2009,Albedo_2010,Albedo_2011,Albedo_2012,Albedo_2013,Albedo_2014,Albedo_2015,Albedo_2016,Albedo_2017,Albedo_all,Cloudfree,ET_2003,ET_2004,ET_2006,ET_2007,ET_2008,ET_2009,ET_2010,ET_2011,ET_2012,ET_2013,ET_all_till_2014,NDVI_2003,NDVI_2004,NDVI_2005,NDVI_2006,NDVI_2007,NDVI_2008,NDVI_2009,NDVI_2010,NDVI_2011,NDVI_2012,NDVI_2013,NDVI_2014,NDVI_2015,NDVI_2016,NDVI_2017,NDVI_all,NightLight,UHI_2014,UHI_2015,UHI_2016,UHI_2017,FL_2001,FL_2002,FL_2003,FL_2004,FL_2005,FL_2006,FL_2007,FL_2008,FL_2009,FL_2010,FL_2011,FL_2012,FL_2013,FL_2014,FL_2015,FL_2016,UHI_2003,UHI_2004,UHI_2005,UHI_2006,UHI_2007,UHI_2008,UHI_2009,UHI_2010,UHI_2011,UHI_2012,UHI_2013,UHI_2014_1,UHI_2015_1,UHI_2016_1,UHI_2017_1,PM2.5_1998,PM2.5_1999,PM2.5_2000,PM2.5_2001,PM2.5_2002,PM2.5_2003,PM2.5_2004,PM2.5_2005,PM2.5_2006,PM2.5_2007,PM2.5_2008,PM2.5_2009,PM2.5_2010,PM2.5_2011,PM2.5_2012,PM2.5_2013,PM2.5_2014,PM2.5_2015
PASIR RIS,singapore_001,142920,16,119730,104830,121580,105740,120950,104800,121340,104590,122570,104990,124890,105460,127540,106270,129800,107700,132060,109340,133860,109900,133790,109480,135900,108970,136730,108440,137500,107960,139890,108330,142920,107600,31,490.3,481.3,482.1,469.6,478.2,493.1,479.5,477,481,478,475.1,490.9,0000b63cefccff4a3605,0,0.127834213,0.123930368,0.13281721,0.127404585,0.12346532,0.120541019,0.122118435,0.126933417,0.117669063,0.118969631,0.11412303,0.130147552,0.11781155,0.113191074,0.116300955,0.128027437,3.409655597,21.46722336,18.41630435,21.54004478,18.84449058,20.83024352,18.76473223,19.38216236,19.44570993,22.4534708,18.86021646,19.70734328,3781.384272,3673.649271,4038.40256,4132.524723,4311.039314,3950.681527,4016.158384,3912.730602,4231.705502,4264.290861,4065.897503,4203.3228,4363.527198,3857.092107,4191.11906,4046.592367,40.97914841,14.89874271,15.01207854,16.1023507,14.82320491,0.026925148,0.026925148,0.13462574,0.107700592,0.350026925,0.511577814,0.619278406,0.107700592,0.861604739,0.861604739,0.13462574,0.403877221,0.538502962,4.658050619,1.803984922,6.919763059,15.535607,14.85051693,15.51534285,14.67936778,14.65094957,14.5503734,14.92887792,15.19273439,13.82271743,13.84079773,14.85307058,14.89874271,15.01207854,16.1023507,14.82320491,8.019723866,9,9,12.00788955,12.83678501,12.25936884,13,13.00788955,17.63658777,12.00788955,13.00788955,19,11,9.007889546,14.77021696,13.00788955,11.65039448
MANDAI,singapore_002,2150,20,930,0,1230,0,1430,0,1480,0,1510,0,1550,0,1400,0,1460,0,1530,0,1870,0,2030,0,2080,0,2120,0,2100,0,2120,0,2150,0,21,0,0,0,0,0,0,0,0,0,0,0,0,00009a356b559ce36af5,0,0.139730082,0.143876637,0.139342892,0.140405808,0.13620455,0.139908873,0.140014954,0.139619601,0.139464264,0.127857714,0.131354132,0.138795102,0.13190188,0.136290335,0.134430427,0.139046624,3.557513298,22.63206881,17.33574737,23.33477382,18.40224819,19.45961969,20.37974063,15.84228349,19.08147622,25.46457129,18.67375172,20.41470464,5317.69636,5130.397939,5586.151581,4702.75094,5654.023719,5481.635364,5625.976671,5533.833025,5329.341105,5546.676833,5465.090165,5061.201492,5310.334658,5464.006259,4712.896277,5352.138245,25.75325751,13.01998013,12.95308907,10.96884344,12.82643044,0.767297262,0.105834105,0,0,0.079375579,0.317502315,0.013229263,0.039687789,5.040349253,0.013229263,0.515941262,0.317502315,0.476253473,3.638047361,1.256779997,0.251355999,12.71005293,12.25417588,12.54324564,11.60879986,12.1682231,11.85121614,12.25047583,12.93941723,11.67935765,12.69785323,11.96715958,13.01998013,12.95308907,10.96884344,12.82643044,8.909395973,10.09362416,10.13758389,13.8761745,14.13758389,14.24295302,14.48322148,15.20167785,20.23892617,13.70503356,14.90805369,20.13758389,12.6704698,11.03758389,16.18825503,15.13758389,13.23892617
OUTRAM,singapore_003,21450,53,19630,17270,17500,15190,16240,14080,15860,13680,15730,13470,15930,13490,16980,14370,16980,14410,17220,14710,19860,17430,21680,19300,22040,19680,22340,19870,22300,19900,22080,19690,21450,19180,30,228.7,227.7,223.7,216.9,225.8,230.6,257.6,265,270.7,273.9,280.4,289.9,00009af89a99e57a70d0,0,0.107029496,0.127509177,0.1115217,0.121440674,0.119418134,0.10748913,0.122387665,0.113891267,0.121593978,0.127424411,0.107526786,0.119956089,0.112972062,NA,0.126724765,0.118428738,3.491482505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3186.196942,3731.695052,3550.393706,3370.398991,3572.848994,3257.744896,3557.27996,3222.206942,3111.953616,3399.991876,3040.215109,3444.506049,3195.076267,3278.96613,2188.270718,3336.053983,112.1680738,18.57011821,16.90208936,18.02095123,14.82439155,0,0,0,0,0.305810398,0,0,0.305810398,0,0,0,0,0,0,0,0,15.90942067,16.26297747,16.31894565,16.08302837,16.27081243,15.51979182,16.30370291,15.06440125,15.85999354,16.69376907,15.95801293,18.57011821,16.90208936,18.02095123,14.82439155,,,,,,,,,,,,,,,,,
MARINA SOUTH,singapore_004,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,00000fe22cca500a14bb,0,0.082166769,0.08241087,0.087558912,0.087484596,0.08763114,0.07744542,0.074266544,0.095067577,0.081055281,0.083370333,0.083958771,0.103362203,0.083008347,0.08599413,0.082804524,0.084369431,3.34428795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3831.971216,4387.488598,3558.705792,3080.456421,3382.790845,3027.47796,2285.553436,2243.512141,2214.878496,2196.395212,2420.823607,2830.201326,2586.656965,3255.780765,2533.18036,2977.594106,79.62272499,5.972236575,4.93239051,6.247717073,4.77867834,0,0,0,0,2.407566638,0.429922614,6.018916595,13.92949269,9.458297506,2.063628547,6.964746346,0.085984523,0,0.171969046,0,0.429922614,5.533450867,6.009996083,5.266219664,5.672381377,6.011578302,5.848374262,6.186580763,6.943874662,5.450772729,6.624227095,5.474307185,5.972236575,4.93239051,6.247717073,4.77867834,,,,,,,,,,,,,,,,,
STRAITS VIEW,singapore_005,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,00000508abeb1e9e9164,0,0.069879361,0.074247663,0.073951868,0.076019534,0.071518112,0.076168407,0.074962079,0.097568044,0.085863357,0.097655979,0.099889088,0.12218512,0.088810624,0.048156092,0.096228887,0.080046778,3.269544365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1618.619327,1908.454626,1464.489043,2135.916594,1961.655525,1417.052507,1211.894366,1083.73053,1246.50024,1220.971535,1127.681251,1945.203492,1482.494566,1641.434056,1114.165827,1520.913532,70.74066547,18.43196398,16.09912241,18.44609965,16.9865854,0,0,0,0,0.488997555,0,0.611246944,12.34718826,29.46210269,0,8.312958435,15.15892421,0,0,0,0,18.63235793,18.83854702,17.71479888,18.09336008,18.49995347,18.31026289,18.6929438,20.64064923,18.29527031,20.07897175,16.69956498,18.43196398,16.09912241,18.44609965,16.9865854,,,,,,,,,,,,,,,,,
CHANGI,singapore_006,2450,29,1090,290,1090,290,1380,290,1440,290,1460,280,1500,280,1540,270,1660,270,1890,360,2160,430,2420,470,2470,480,2540,460,2530,450,2530,460,2450,440,10,0,0,0,0,0,0,0,0,0,0,0,0,0000f1485fd1950a3e51,0,0.153092323,0.151148768,0.150377554,0.136724339,0.134061643,0.128186685,0.128774839,0.127187727,0.12488638,0.1244802,0.124373449,0.130095018,0.134140563,0.118502744,0.124179333,0.135547621,3.669278275,14.11096393,16.46521242,15.94693587,18.41923719,16.17700344,17.97491203,18.21263309,15.34121355,22.15415554,16.86794413,16.74695427,3376.068033,3492.555466,3909.107712,4120.447491,4845.444451,4466.195873,4617.326592,4758.823505,4904.526595,5286.187818,4828.687624,4826.555585,3622.963319,3348.655425,3511.095012,4280.069841,38.14011693,10.57793145,11.01321488,11.70505748,11.14469518,0.192554557,0.492083868,0.342319213,0.299529311,0.919982884,0.235344459,0.042789902,0.106974754,0.81300813,0.27813436,1.925545571,0.727428327,0.577663671,16.64527172,100,30.12409071,11.5224547,10.7546572,11.24880663,11.04222761,10.72114109,10.67893121,10.87951985,10.55665428,10.16678077,9.746786651,10.38598818,10.57793145,11.01321488,11.70505748,11.14469518,8.047820285,9,9,11.91926157,12.01245552,12,12.65814057,13,16.88122776,12,13,18.67771352,11,9,14.00266904,13,11
SEMBAWANG,singapore_007,77350,25,44830,42010,50650,47280,54310,51010,57820,54440,60750,57170,63180,59250,65220,60900,67630,62970,70080,65190,72730,67680,73120,67960,73310,67970,73420,67790,75570,69120,76530,70010,77350,70070,39,386.2,388.4,392.5,384.2,401.8,411.7,402.6,404,408.9,397.4,411.8,424.7,00006df561d9f284c819,0,0.102061127,0.094999811,0.120638179,0.116294488,0.101747454,0.132747451,0.098253373,0.121821234,0.112311798,0.103021366,0.105369371,0.125069199,0.096206422,0.092775943,0.073412231,0.116029754,3.6272578,17.87333707,11.38559458,19.5900904,11.25827367,14.19093036,14.7850986,11.52536699,8.992646294,21.77957282,14.31232801,15.22352605,2817.97474,2786.581963,3135.502289,2505.657395,3178.178585,2947.966976,3086.454661,3041.605577,2959.79384,3118.411384,2892.006452,2992.06408,2869.978448,2991.906792,2600.691071,2939.540958,51.671064,11.71402536,11.37380284,9.431241672,11.45662008,0.194111938,0.841151731,0,0.355871886,0.452927855,0,0.129407959,0,0.776447752,0.549983824,0.291167907,0.776447752,1.585247493,1.455839534,3.494014882,2.102879327,11.01886018,10.0284233,10.51389936,9.834038249,10.3994948,9.02553104,11.73975779,12.88908591,11.05119596,10.38874779,10.62638299,11.71402536,11.37380284,9.431241672,11.45662008,8.137867647,9.09252451,9.193627451,13,13.17064951,13.34252451,13.93566176,15,19.00980392,13,14.00980392,19.34987745,12,10.00980392,15.17064951,14.17064951,12.50735294
JURONG EAST,singapore_008,84660,18,87880,79980,88390,80240,86230,78280,85850,77740,86010,77750,86210,77910,86550,78350,86800,78930,88520,80610,88120,80340,86980,79360,86550,78950,86950,79480,86570,79160,84980,77650,84660,77310,17,377.1,367.4,367.2,357,370.7,377.1,365,358.2,361.5,363.6,368.9,378.6,0000cd179efea8d9a624,0,0.10622967,0.104798317,0.108397884,0.102222245,0.113131911,0.10467279,0.103199361,0.113234828,0.105945419,0.107169159,0.111926664,0.118386145,0.109470196,0.105962558,0.115025168,0.108765975,3.204846697,22.05920775,19.43427051,22.94495431,22.72995281,21.84147505,22.78875389,16.85447836,21.50524149,22.31403253,20.72434983,21.22928278,2795.987501,2730.976204,2975.144078,2886.625698,3073.674691,3068.233293,3158.188417,2914.284207,2670.85653,2903.78313,2697.279801,2694.557298,2734.774692,2621.412199,2355.312403,2834.512588,63.30400043,14.40144619,14.55655145,14.88386325,15.33156744,0.032185388,0.032185388,0.064370776,0.064370776,1.094303186,0.482780818,0.160926939,0,0.836820084,0.482780818,0,0.225297715,0.064370776,0.321853878,0,0,13.85806378,13.52893018,13.37365903,13.06343055,14.29987893,13.68244241,14.2050534,15.41807114,14.19549941,14.44857279,13.67198397,14.40144619,14.55655145,14.88386325,15.33156744,8.81362258,9.873104735,10.00023326,14.00023326,14.1292279,14.62981106,14.66876604,14.66876604,21.43363658,13.81362258,14.81362258,20.63820854,12.87123863,11.34103102,16.70025659,15.00023326,13.66876604
PIONEER,singapore_009,90,3,90,0,80,0,70,0,60,0,60,0,70,0,80,0,80,0,100,0,90,0,80,0,80,0,80,0,90,0,100,0,90,0,33,0,0,0,0,0,0,0,0,0,0,0,0,00009ee9323ed75bc046,0,0.112635866,0.097652986,0.113862913,0.110994103,0.103711726,0.097730805,0.103700513,0.105717112,0.113679236,0.100363414,0.108492667,0.117054621,0.11675618,0.098470498,0.116084732,0.116820304,3.288297646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2382.054995,2182.551391,2479.755301,2149.735172,2305.377523,2363.128032,2547.80763,2288.411535,2440.62873,2378.130625,2103.641045,2272.878957,2205.143899,2282.087008,2008.391941,2312.843973,63.98804979,15.99997124,16.79284437,18.25914853,17.72165218,0,0.09354537,0,0,0.374181478,0,0,0,0,0,0,0.280636109,0,0,0.187090739,0,15.40935559,16.06941676,15.72711657,14.52807487,16.14351671,16.19143787,17.09114227,18.80901032,17.31595103,17.6605105,16.94194094,15.99997124,16.79284437,18.25914853,17.72165218,8,9,9,13,13,14,14,14,20.8767954,13,14,20,12,11,16,14,13
BOON LAY,singapore_010,30,8,20,0,20,0,20,0,20,0,10,0,20,0,30,0,30,0,40,0,40,0,30,0,30,0,30,0,30,0,30,0,30,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0000a2cc62855d134cff,0,0.109728702,0.105884028,0.108784928,0.108502438,0.122397934,0.089791147,0.105295847,0.102313728,0.101380262,0.103481404,0.107410916,0.117745457,0.126741692,0.104529879,0.084509109,0.115430379,3.272411911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2265.837713,2068.091451,2316.327043,2181.412515,2327.4104,2281.416643,2311.429983,2183.808029,2215.981311,2151.173814,1999.566966,1966.469984,2061.819478,1940.543783,1669.065669,2153.113325,77.36312414,19.28717569,20.54371198,21.26665106,21.74000257,0,1.30260521,0,0,2.004008016,0,0.100200401,0,0,0.100200401,0.100200401,0.300601202,0,0.200400802,0,0,18.34853805,18.07863647,18.27507363,17.49762873,19.56933923,19.55665397,21.12083019,22.64788481,20.5183789,20.94094049,19.53052091,19.28717569,20.54371198,21.26665106,21.74000257,8.197843413,9.197843413,9.276136896,13.2761369,13.38021566,14.19784341,14.19784341,14.07829348,21.03516174,13.19784341,14.19784341,20.07829348,12.19784341,10.97937178,16.19784341,14.30754805,13.19784341
